id,Sector,Last page,Have you smoked at least one full tobacco cigarette (excluding e-cigarettes) once or more in the past 30 days?,"I see myself as someone who is extraverted, enthusiastic:","I see myself as someone who is critical, quarrelsome:","I see myself as someone who is dependable, self-disciplined:","I see myself as someone who is anxious, easily upset:",I see myself as someone who is open to new experiences:,"I see myself as someone who is reserved, quiet:","I see myself as someone who is sympathetic, warm:","I see myself as someone who is disorganized, careless:","I see myself as someone who is calm, emotionally stable:","I see myself as someone who is conventional, uncreative:","Do you find it difficult to refrain from smoking where it is forbidden (church, library, cinema, plane, etc...)?",How many cigarettes do you smoke each day?,Do you smoke more frequently during the first hours after waking up than during the rest of the day? ,Do you smoke if you are so ill that you are in bed most of the day?,How soon after you wake up do you smoke your first cigarette?,Which cigarette would you mostly hate to give up?,How old were you the first time you smoked a full cigarette (not just a few puffs)?,How would you describe your current smoking behavior compared to your smoking behavior before Lebanon's economic crisis and revolution began in 2019?,What is your favorite or preferred cigarette brand(s) if you were able to access it?,What cigarette brand(s) are you currently using?,Are you currently able to afford your favorite or preferred cigarette brand(s)?,Has 2019's revolution or economic crisis caused you to switch away from your favorite or preferred cigarette brand(s) to an  alternative?,Gender:,How old are you?,Which governerate do you live in or spend most of your time in?,What is the highest level of education you have attained?,What is your current employment status?,What is your current employment status? [Comment],What is your current marital status?,What is your current marital status? [Comment],Do you have close friends?,"Of the five closest friends or acquaintances that you spend time with on a regular basis, how many of them are smokers?",What is your main source of income?,What is your main source of income? [Comment],What type of income or financial support does your household receive?,What type of income or financial support does your household receive? [Comment],"If you receive payment in Lebanese Lira, what is your current estimated monthly household income? (If income is in US Dollars, then refer to the current black market exchange).",How would you describe your current income sufficiency?,"Including yourself, how many people currently live in your household?",To what extent were you financially (negatively) affected by the deterioration of the Lebanese economy?,How often do you exercise?,"On average, how many hours per day do you spend on social media for entertainment and social interaction (Facebook, Instagram, YouTube, etc...)?",How often do you feel stressed?,Employment Status
206,Private,5,Yes,Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Disagree moderately,Disagree moderately,Disagree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,14,The number of cigarettes I smoke per day has decreased,marlboro,marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,18,Beirut,High school degree or equivalent (e.g. GED),Student only,,Single,,Yes,1,Parents,,Mixed,,Between 8 and 12 million L.L,High: completely covers necessities with a few luxury items,4,Slightly,Sometimes or a few days every month,More than 4 hours,Constantly,Unemployed
207,Private,5,Yes,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree strongly,Disagree moderately,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,No,21 to 30 cigarettes,No,No,6 to 30 minutes,All others,18,The number of cigarettes I smoke per day has increased,Marlboro,Marlboro,No,"Yes, I am currently using a cheaper alternative",Female,21,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,5,"Other, please specify",scholarship,"Other, please specify",none,Between 8 and 12 million L.L,Medium: covers all basic needs,1,Moderately,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed
208,Private,5,Yes,Agree strongly,,Agree strongly,Agree moderately,Agree strongly,Disagree strongly,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,18,The number of cigarettes I smoke per day has increased,Marlboro Gold,None,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,18,Beirut,Incomplete bachelor's degree,Student only,,"Other, please specify",I have a boyfriend,Yes,5,Parents,,Mixed,,I don't know,Medium: covers all basic needs,5,Very,Never,Between 2 and 3 hours,Frequently,Unemployed
210,Private,5,Yes,Agree a little,Agree a little,Disagree a little,Agree a little,Agree moderately,Disagree a little,Disagree a little,Agree a little,Disagree a little,Disagree a little,Yes,11 to 20 cigarettes,Yes,Yes,6 to 30 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has increased,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,23,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,Yes,3,Job,,Fully in US Dollars,,More than 20 million L.L,Medium: covers all basic needs,5,Very,Often or at least 3 days every week,Between 1 hour and 2 hours,Frequently,Employed
211,Private,5,Yes,Agree moderately,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree a little,Disagree moderately,Disagree moderately,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,14,The number of cigarettes I smoke per day has remained the same,Marlboro,Malboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,24,Beirut,Graduate degree (MA/MS),Student only,,Single,,Yes,4,Parents,,Fully in US Dollars,,I don't know,High: completely covers necessities with a few luxury items,5,Not at all,Every day or at least 5 times every week,Between 1 hour and 2 hours,Frequently,Unemployed
212,Private,5,Yes,Disagree a little,Agree a little,Agree strongly,Disagree a little,Agree a little,Agree moderately,Disagree moderately,Disagree strongly,Agree moderately,Disagree strongly,No,11 to 20 cigarettes,No,No,31 to 60 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has increased,Heets,Heets,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,22,Keserwan - Jbeil,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,No,5,Parents,,Fully in US Dollars,,I prefer not to say,High: completely covers necessities with a few luxury items,3,Slightly,Never,Between 2 and 3 hours,Frequently,Employed
218,Private,5,Yes,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,Yes,10 or less cigarettes/day,No,No,After 60 minutes,All others,21,The number of cigarettes I smoke per day has decreased,Marlboro light blue,Stanley tobbaco,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,28,Mount Lebanon,Bachelor's degree (BA/BS),Employee; full-time,,"Other, please specify",In a relationship,Yes,2,Job,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,0,Not at all,Often or at least 3 days every week,Between 3 and 4 hours,Frequently,Employed
219,Private,5,Yes,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,No,11 to 20 cigarettes,No,No,31 to 60 minutes,All others,15,The number of cigarettes I smoke per day has remained the same,Marlboro Gold,Marlboro Gold,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,22,Beirut,Graduate degree (MA/MS),Employee; full-time,,Single,,Yes,2,Job,,Fully in US Dollars,,I prefer not to say,High: completely covers necessities with a few luxury items,3,Slightly,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Employed
221,Private,5,Yes,Agree strongly,Neither agree nor disagree,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,No,11 to 20 cigarettes,No,No,6 to 30 minutes,All others,17,The number of cigarettes I smoke per day has increased,marlboro gold,marlboro fine touch,Yes,"Yes, I am currently using a cheaper alternative",Female,20,Mount Lebanon,Incomplete bachelor's degree,Student only,,Single,,Yes,4,Parents,,Mixed,,Between 8 and 12 million L.L,Medium: covers all basic needs,2,Moderately,Sometimes or a few days every month,Between 1 hour and 2 hours,Occasionally,Unemployed
222,Private,5,Yes,Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree strongly,No,10 or less cigarettes/day,Yes,No,After 60 minutes,All others,17,The number of cigarettes I smoke per day has remained the same,davidoff slim,davidoff slim,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,20,Mount Lebanon,Bachelor's degree (BA/BS),Student only,,Single,,Yes,3,Parents,,Fully in Lebanese Lira,,Between 4 and 8 million L.L,Medium: covers all basic needs,2,Very,Often or at least 3 days every week,More than 4 hours,Frequently,Unemployed
223,Private,5,Yes,Disagree a little,Agree a little,Agree strongly,Neither agree nor disagree,Agree moderately,Agree a little,Agree a little,Disagree strongly,Agree strongly,Disagree a little,No,21 to 30 cigarettes,No,Yes,6 to 30 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has decreased,Heets/ previously Davidoff classic,Heets by Iqos,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,23,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,Yes,4,Job,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,6,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Employed
226,Private,5,Yes,Disagree moderately,Agree moderately,Agree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree strongly,Disagree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,17,The number of cigarettes I smoke per day has decreased,Marlboro Gold,"Cedars, rolling local tobacco",No,"Yes, I am currently using a cheaper alternative",Female,22,Mount Lebanon,Bachelor's degree (BA/BS),Student only,,Single,,Yes,3,Parents,,Fully in Lebanese Lira,,I prefer not to say,Low: barely covers basic needs for a month,2,Extremely,Often or at least 3 days every week,Between 1 hour and 2 hours,Frequently,Unemployed
229,Private,5,Yes,Agree moderately,Disagree a little,Agree a little,Neither agree nor disagree,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree moderately,Disagree moderately,Disagree strongly,Yes,21 to 30 cigarettes,Yes,No,6 to 30 minutes,The first one in the morning,18,The number of cigarettes I smoke per day has remained the same,Gitanes,Gitanes,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,25,Beirut,Graduate degree (MA/MS),Employee; full-time,,"Other, please specify",Long-term Relationship,Yes,4,Job,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,6,Very,Sometimes or a few days every month,Less than 1 hour,Frequently,Employed
230,Private,5,Yes,Disagree strongly,Disagree a little,Agree moderately,Disagree strongly,Agree moderately,Agree a little,Disagree moderately,Disagree moderately,Agree a little,Disagree strongly,No,10 or less cigarettes/day,Yes,No,31 to 60 minutes,All others,22,The number of cigarettes I smoke per day has remained the same,Cederz,Cederz,No,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,27,South Lebanon,Bachelor's degree (BA/BS),Employee; part-time,,Single,,Yes,5,Job,,Fully in Lebanese Lira,,Between 4 and 8 million L.L,Low: barely covers basic needs for a month,3,Moderately,Sometimes or a few days every month,Between 1 hour and 2 hours,Occasionally,Employed
232,Private,5,Yes,Agree a little,Disagree moderately,Agree strongly,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,No,11 to 20 cigarettes,No,Yes,After 60 minutes,All others,17,The number of cigarettes I smoke per day has remained the same,"Marlboro 
Winston",Marlboro touch,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,22,Mount Lebanon,Graduate degree (MA/MS),Employee; full-time,,Single,,Yes,4,Job,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,5,Moderately,Often or at least 3 days every week,Between 2 and 3 hours,Constantly,Employed
234,Private,5,Yes,Agree a little,,Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,No,10 or less cigarettes/day,No,No,6 to 30 minutes,The first one in the morning,20,The number of cigarettes I smoke per day has remained the same,No preference in brands or nicotine magnitude,Parliament Azra2,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,Bachelor's degree (BA/BS),Employee; full-time,,Single,,Yes,1,Job,,Fully in US Dollars,,I don't know,High: completely covers necessities with a few luxury items,3,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Employed
235,Private,5,Yes,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree a little,Agree strongly,Disagree strongly,Agree a little,Agree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,17,The number of cigarettes I smoke per day has decreased,,none,Yes,"Yes, I am currently using a cheaper alternative",Female,27,Beirut,Incomplete graduate degree,Student only,,Single,,Yes,2,"Other, please specify",savings,Mixed,,Between 4 and 8 million L.L,Medium: covers all basic needs,4,Not at all,Often or at least 3 days every week,Between 1 hour and 2 hours,Frequently,Unemployed
236,Private,5,Yes,Neither agree nor disagree,Disagree a little,Agree a little,Agree strongly,Agree a little,Agree moderately,Agree strongly,Agree a little,Disagree a little,Disagree strongly,No,11 to 20 cigarettes,Yes,No,Within 5 minutes,All others,18,The number of cigarettes I smoke per day has remained the same,Heets,Heets,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,23,Beirut,Bachelor's degree (BA/BS),Employee; full-time,,Single,,Yes,3,Job,,Fully in US Dollars,,I prefer not to say,Extremely high: covers a wide range of luxury items,0,Not at all,Never,Between 3 and 4 hours,Frequently,Employed
238,Private,5,Yes,Disagree a little,Disagree a little,Agree moderately,Agree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Yes,10 or less cigarettes/day,No,No,31 to 60 minutes,All others,18,The number of cigarettes I smoke per day has remained the same,marlboro touch,marlboro touch,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,23,Beirut,Bachelor's degree (BA/BS),Unemployed (but seeking employment),,Single,,Yes,5,Parents,,Fully in US Dollars,,I don't know,Medium: covers all basic needs,3,Moderately,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed
239,Private,5,Yes,Agree moderately,Disagree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,21,The number of cigarettes I smoke per day has increased,Iqos,Iqos,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,Keserwan - Jbeil,Graduate degree (MA/MS),Student only,,Single,,Yes,3,Parents,,Fully in Lebanese Lira,,I don't know,Medium: covers all basic needs,5,Moderately,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Unemployed
240,Private,5,Yes,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Agree a little,Agree a little,Disagree strongly,Agree a little,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,24,The number of cigarettes I smoke per day has remained the same,Dunhill,Dunhill,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,29,Beirut,"Post-graduate degree (PhD, MD, or other)",Employee; full-time,,Single,,Yes,5,Job,,Fully in US Dollars,,I prefer not to say,Medium: covers all basic needs,3,Slightly,Sometimes or a few days every month,Between 1 hour and 2 hours,Occasionally,Employed
241,Private,5,Yes,Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,No,11 to 20 cigarettes,Yes,Yes,6 to 30 minutes,All others,13,The number of cigarettes I smoke per day has remained the same,Heets,Heets silver,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,30,Beirut,Bachelor's degree (BA/BS),Employee; full-time,,Married,,Yes,5,Job,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,2,Slightly,Sometimes or a few days every month,Between 1 hour and 2 hours,Frequently,Employed
242,Private,5,Yes,Agree a little,Agree moderately,Agree strongly,Disagree moderately,Agree a little,Disagree a little,Agree moderately,Disagree strongly,Agree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,20,The number of cigarettes I smoke per day has increased,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,25,Beirut,Graduate degree (MA/MS),Employee; full-time,,Single,,Yes,3,Job,,Fully in US Dollars,,More than 20 million L.L,High: completely covers necessities with a few luxury items,4,Not at all,Often or at least 3 days every week,Between 2 and 3 hours,Occasionally,Employed
245,Private,5,Yes,Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Disagree a little,Disagree a little,No,10 or less cigarettes/day,No,Yes,31 to 60 minutes,The first one in the morning,13,The number of cigarettes I smoke per day has increased,Marlboro,Marlboro,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,22,Baalbeck - Hermel,Graduate degree (MA/MS),Employee; part-time,,Single,,Yes,3,Job,,Mixed,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,1,Slightly,Sometimes or a few days every month,Between 3 and 4 hours,Frequently,Employed
246,Private,5,Yes,Neither agree nor disagree,Agree a little,Agree moderately,Agree moderately,Agree strongly,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree moderately,No,10 or less cigarettes/day,No,Yes,After 60 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has increased,Davidoff,Davidoff,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,25,Baalbeck - Hermel,Incomplete graduate degree,Business owner,,Single,,Yes,2,Job,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,3,Moderately,Never,More than 4 hours,Frequently,Employed
248,Private,5,Yes,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree a little,Neither agree nor disagree,Yes,21 to 30 cigarettes,No,Yes,Within 5 minutes,The first one in the morning,15,The number of cigarettes I smoke per day has increased,Marlboro red,Marlboro blue,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,24,Baalbeck - Hermel,Incomplete bachelor's degree,Employee; full-time,,Single,,Yes,5,Own business income,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,5,Moderately,Never,More than 4 hours,Frequently,Employed
249,Private,5,Yes,Disagree moderately,Agree a little,Agree strongly,Agree moderately,Agree moderately,Agree strongly,Agree a little,Disagree strongly,Agree moderately,Disagree strongly,No,10 or less cigarettes/day,No,No,31 to 60 minutes,All others,18,The number of cigarettes I smoke per day has remained the same,Marlboro-gold,Marlboro-touch,Yes,"Yes, I am currently using a cheaper alternative",Female,24,Beirut,Incomplete graduate degree,Student with a part-time or full-time job,,Single,,Yes,2,Parents,,Mixed,,I don't know,Low: barely covers basic needs for a month,1,Slightly,Often or at least 3 days every week,Less than 1 hour,Constantly,Employed
250,Private,5,Yes,Agree moderately,Agree moderately,Agree moderately,Disagree strongly,Agree strongly,Disagree moderately,Agree a little,Disagree a little,Agree moderately,Disagree moderately,No,11 to 20 cigarettes,Yes,Yes,6 to 30 minutes,The first one in the morning,17,The number of cigarettes I smoke per day has remained the same,Camel,Calle+ IQOS+ Redfield rolling tabaco,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,Bachelor's degree (BA/BS),Employee; full-time,,Single,,Yes,5,Job,,Mixed,,Between 12 and 16 million L.L,Medium: covers all basic needs,7,Very,Sometimes or a few days every month,Between 2 and 3 hours,Occasionally,Employed
251,Private,5,Yes,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Disagree strongly,No,10 or less cigarettes/day,No,No,After 60 minutes,The first one in the morning,21,The number of cigarettes I smoke per day has remained the same,Marbolo,Marlbolo,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,23,Beirut,Bachelor's degree (BA/BS),Employee; full-time,,Single,,Yes,2,Job,,Mixed,,Between 16 and 20 million L.L,Medium: covers all basic needs,6,Extremely,Sometimes or a few days every month,Between 3 and 4 hours,Rarely,Employed
253,Private,5,Yes,Agree strongly,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Disagree a little,Agree moderately,Disagree strongly,Agree moderately,Yes,10 or less cigarettes/day,Yes,Yes,6 to 30 minutes,The first one in the morning,10,The number of cigarettes I smoke per day has increased,Mallboro,Mallboro,No,"Yes, I am currently using a cheaper alternative",Male,19,Beirut,Incomplete graduate degree,Student only,,Single,,Yes,2,Parents,,Fully in Lebanese Lira,,Between 8 and 12 million L.L,Medium: covers all basic needs,5,Slightly,Sometimes or a few days every month,More than 4 hours,Rarely,Unemployed
254,Private,5,Yes,Agree a little,Agree a little,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree moderately,Agree a little,Disagree strongly,Yes,21 to 30 cigarettes,No,Yes,6 to 30 minutes,The first one in the morning,16,The number of cigarettes I smoke per day has remained the same,"Heets
Marlboro Gold
Parliament",Heets,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,27,Mount Lebanon,Bachelor's degree (BA/BS),Employee; full-time,,Engaged,,Yes,5,Job,,Mixed,,More than 20 million L.L,High: completely covers necessities with a few luxury items,2,Slightly,Often or at least 3 days every week,Between 1 hour and 2 hours,Frequently,Employed
256,Private,5,Yes,Agree strongly,Agree a little,Agree a little,Agree moderately,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,No,10 or less cigarettes/day,Yes,No,After 60 minutes,All others,15,The number of cigarettes I smoke per day has increased,Iqos,Iqos,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,25,Beirut,Bachelor's degree (BA/BS),Employee; full-time,,Single,,Yes,5,Job,,Fully in Lebanese Lira,,I prefer not to say,Medium: covers all basic needs,4,Moderately,Often or at least 3 days every week,More than 4 hours,Constantly,Employed
257,Private,5,Yes,Agree moderately,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Disagree moderately,Disagree strongly,Yes,11 to 20 cigarettes,Yes,Yes,Within 5 minutes,The first one in the morning,14,The number of cigarettes I smoke per day has remained the same,Marlboro,Davidoff,No,"Yes, I am currently using a cheaper alternative",Male,20,Mount Lebanon,High school degree or equivalent (e.g. GED),Unemployed (but seeking employment),,Single,,Yes,5,Investment,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,3,Extremely,Every day or at least 5 times every week,Between 3 and 4 hours,Frequently,Unemployed
259,Private,5,Yes,Agree strongly,Agree a little,Agree moderately,Disagree a little,Agree moderately,Disagree strongly,Agree strongly,Disagree moderately,Agree strongly,Disagree strongly,No,10 or less cigarettes/day,No,No,6 to 30 minutes,All others,17,The number of cigarettes I smoke per day has decreased,Domingo,Domingo,Yes,"Yes, I am currently using a cheaper alternative",Male,24,Beirut,Graduate degree (MA/MS),Student with a part-time or full-time job,,Single,,Yes,4,Job,,"Other, please specify",Euro,I don't know,High: completely covers necessities with a few luxury items,3,Very,Every day or at least 5 times every week,More than 4 hours,Frequently,Employed
262,Private,5,Yes,Disagree strongly,Agree moderately,Agree strongly,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Disagree a little,Disagree moderately,Disagree moderately,No,10 or less cigarettes/day,Yes,No,6 to 30 minutes,All others,15,The number of cigarettes I smoke per day has increased,marbolo red paper,marbolo red paper,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,19,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,0,Parents,,Fully in Lebanese Lira,,I don't know,Medium: covers all basic needs,3,Very,Sometimes or a few days every month,More than 4 hours,Constantly,Unemployed
269,Private,5,Yes,Neither agree nor disagree,Agree a little,Disagree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Disagree a little,Disagree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,17,The number of cigarettes I smoke per day has decreased,Winston,Winston,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,24,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,1,Parents,,Mixed,,I prefer not to say,High: completely covers necessities with a few luxury items,1,Moderately,Sometimes or a few days every month,Between 2 and 3 hours,Frequently,Unemployed
270,Private,5,Yes,Agree strongly,Agree moderately,Disagree a little,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree a little,Disagree a little,Disagree a little,Yes,21 to 30 cigarettes,Yes,Yes,Within 5 minutes,The first one in the morning,14,The number of cigarettes I smoke per day has increased,Marlboro Flavor Mix,IQOS HEETS AMBER,Yes,"Yes, I am currently using a cheaper alternative",Male,18,Beirut,Incomplete bachelor's degree,Student only,,Single,,Yes,3,Parents,,Fully in US Dollars,,Between 4 and 8 million L.L,Low: barely covers basic needs for a month,3,Moderately,Every day or at least 5 times every week,Between 2 and 3 hours,Frequently,Unemployed
271,Private,5,Yes,Disagree a little,Agree moderately,Agree moderately,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree strongly,Agree a little,Disagree moderately,No,11 to 20 cigarettes,No,Yes,6 to 30 minutes,All others,14,The number of cigarettes I smoke per day has remained the same,"Marlboro reds, cedars silver",Marlboro reds and sometimes cedars silver,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,18,Beirut,High school degree or equivalent (e.g. GED),Student only,,Single,,No,3,Parents,,"Other, please specify",,I prefer not to say,Medium: covers all basic needs,4,Moderately,Never,Between 3 and 4 hours,Frequently,Unemployed
273,Private,5,Yes,Neither agree nor disagree,Disagree a little,Agree a little,Agree moderately,Agree a little,Agree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,No,11 to 20 cigarettes,No,No,After 60 minutes,All others,17,The number of cigarettes I smoke per day has remained the same,Malboro,Cedars,No,"Yes, I am currently using a cheaper alternative",Male,22,Beirut,Bachelor's degree (BA/BS),Unemployed (but seeking employment),,"Other, please specify",Planning to get engaged,Yes,3,Parents,,Mixed,,Between 8 and 12 million L.L,Low: barely covers basic needs for a month,3,Moderately,Sometimes or a few days every month,Between 3 and 4 hours,Occasionally,Unemployed
277,Private,5,Yes,Agree moderately,Agree strongly,Agree strongly,Agree moderately,Agree a little,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree a little,No,10 or less cigarettes/day,No,No,After 60 minutes,All others,24,The number of cigarettes I smoke per day has increased,Marlboro,Malboro craft,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,24,Beirut,Graduate degree (MA/MS),Employee; full-time,,Single,,Yes,2,Job,,Mixed,,Between 4 and 8 million L.L,Low: barely covers basic needs for a month,4,Extremely,Never,Between 1 hour and 2 hours,Constantly,Employed
279,Private,5,Yes,Agree strongly,Neither agree nor disagree,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Yes,11 to 20 cigarettes,No,No,6 to 30 minutes,All others,18,The number of cigarettes I smoke per day has increased,Camel blue,Camel blue,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Male,19,Beirut,Incomplete bachelor's degree,Student with a part-time or full-time job,,Single,,Yes,3,Parents,,Fully in Lebanese Lira,,Between 1 and 4 million L.L,Low: barely covers basic needs for a month,2,Very,Often or at least 3 days every week,Between 2 and 3 hours,Occasionally,Employed
281,Private,5,Yes,Disagree a little,Disagree moderately,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree moderately,Disagree moderately,Disagree strongly,Yes,11 to 20 cigarettes,No,Yes,6 to 30 minutes,All others,17,The number of cigarettes I smoke per day has increased,Marlboro touch,Marlboro touch,Yes,"No, I am currently using my favorite or preferred cigarette brand(s)",Female,21,North Lebanon,Bachelor's degree (BA/BS),Student only,,Single,,Yes,3,Parents,,Mixed,,I don't know,Medium: covers all basic needs,2,Very,Never,Between 2 and 3 hours,Frequently,Unemployed
